SK_ID_CURR,TARGET
100002,1
100003,1
100004,1
100006,1
100007,1
100008,1
100009,1
100010,1
100011,1
100012,1
100014,1
100015,1
100016,1
100017,1
100018,1
100019,1
100020,1
100021,1
100022,1
100023,1
100024,1
100025,1
100026,1
100027,1
100029,1
100030,1
100031,1
100032,1
100033,1
100034,1
100035,1
100036,1
100037,1
100039,1
100040,1
100041,1
100043,1
100044,1
100045,1
100046,1
100047,1
100048,1
100049,1
100050,1
100051,1
100052,1
100053,1
100054,1
100055,1
100056,1
100058,1
100059,1
100060,1
100061,1
100062,1
100063,1
100064,1
100068,1
100069,1
100070,1
100071,1
100072,1
100073,1
100075,1
100076,1
100077,1
100078,1
100079,1
100080,1
100081,1
100082,1
100083,1
100084,1
100085,1
100086,1
100087,1
100088,1
100089,1
100093,1
100094,1
100095,1
100096,1
100097,1
100098,1
100099,1
100100,1
100101,1
100102,1
100103,1
100104,1
100105,1
100108,1
100110,1
100111,1
100112,1
100113,1
100114,1
100115,1
100116,1
100118,1
100119,1
100120,1
100121,1
100122,1
100123,1
100124,1
100125,1
100126,1
100127,1
100129,1
100130,1
100131,1
100132,1
100133,1
100134,1
100135,1
100136,1
100137,1
100138,1
100139,1
100140,1
100142,1
100143,1
100144,1
100145,1
100146,1
100147,1
100148,1
100149,1
100151,1
100152,1
100153,1
100154,1
100155,1
100156,1
100157,1
100158,1
100159,1
100160,1
100161,1
100162,1
100163,1
100164,1
100165,1
100166,1
100167,1
100173,1
100174,1
100175,1
100176,1
100177,1
100178,1
100179,1
100180,1
100181,1
100182,1
100183,1
100185,1
100186,1
100188,1
100189,1
100190,1
100191,1
100192,1
100193,1
100194,1
100195,1
100196,1
100197,1
100198,1
100199,1
100200,1
100201,1
100202,1
100203,1
100204,1
100205,1
100206,1
100207,1
100208,1
100209,1
100210,1
100211,1
100213,1
100214,1
100215,1
100216,1
100217,1
100218,1
100219,1
100220,1
100221,1
100224,1
100225,1
100226,1
100227,1
100228,1
100229,1
100230,1
100231,1
100233,1
100234,1
100235,1
100236,1
100237,1
100238,1
100239,1
100240,1
100242,1
100243,1
100244,1
100246,1
100247,1
100248,1
100249,1
100250,1
100251,1
100252,1
100254,1
100255,1
100257,1
100258,1
100259,1
100260,1
100261,1
100262,1
100263,1
100264,1
100265,1
100266,1
100267,1
100268,1
100269,1
100270,1
100272,1
100273,1
100274,1
100275,1
100276,1
100277,1
100279,1
100281,1
100282,1
100283,1
100284,1
100285,1
100286,1
100287,1
100288,1
100289,1
100290,1
100291,1
100292,1
100293,1
100294,1
100295,1
100296,1
100297,1
100298,1
100299,1
100300,1
100301,1
100302,1
100303,1
100304,1
100305,1
100307,1
100308,1
100309,1
100310,1
100313,1
